Product, Price
"Asus X543m INTEL CELERON N4020, 4GB RAM, 1 TB HARDDISK, WINDOWS 11, ST","KSh 29,990"
"Asus W202NA LAPTOP, 4GB RAM, 128GB SSD, 11.6 INCHES SCREEN,RUGGEDLIZED","KSh 26,999"
"Lenovo Ideapad 3 Intel Celeron N4020 1.1GHZ 4GB 1TB 15.6"" DOS Business","KSh 31,499"
"HP 15 - 15.6"" - Intel Celeron - 4GB RAM - 500GB HDD - DOS Installed - ","KSh 30,249"
"Asus E410M, Celeron, 4Gb Ram, 128Gb SSD, 14 Inches FHD Screen, Windows","KSh 27,999"
"Lenovo 14"" - Intel Celeron - 1TB HDD - 4GB RAM - Windows 10 - Black + ","KSh 29,999"
Apple MacBook Pro 14 Inch With M1 16gb Ram 1Tb SSD Pro Chip (Late 2021,"KSh 385,999"
"HP 250 G8 - 15.6"" - Intel Celeron - 1TB HDD - 4GB RAM - DOS - Black","KSh 37,299"
"HP 250 G8 - 15.6"" - Intel Celeron - 1TB HDD - 4GB RAM - DOS - Black","KSh 38,499"
"Lenovo Ideapad 3 Intel Core I3 -10110U 1.2GHZ 4GB 1TB 15.6"" DOS Platin","KSh 44,999"
"HP ProBook X360 11 G2 , Intel Pentium, 4 GB RAM, 128 GB SSD, 11.6″ HD ","KSh 20,000"
"Lenovo 14"" - Intel Celeron - 1TB HDD - 4GB RAM - Windows 10 - Black + ","KSh 29,999"
"HP Refurbished EliteBook 840 G1 Intel Core I5 14"" 500GB HDD 8GB Ram - ","KSh 23,490"
"Apple MacBook Pro 14 Inch With M1 Pro Chip (Late 2021, Space Gray)","KSh 285,999"
"Apple MacBook Air M1 MGN63 13"" 8GB RAM 256GB SSD With Retina Display -","KSh 134,999"
"Asus X543m INTEL CELERON N4020, 4GB RAM, 1 TB HARDDISK, WINDOWS 11, ST","KSh 29,990"
"Asus W202NA LAPTOP, 4GB RAM, 128GB SSD, 11.6 INCHES SCREEN,RUGGEDLIZED","KSh 26,999"
"Lenovo Ideapad 3 Intel Celeron N4020 1.1GHZ 4GB 1TB 15.6"" DOS Business","KSh 31,499"
"HP 15 - 15.6"" - Intel Celeron - 4GB RAM - 500GB HDD - DOS Installed - ","KSh 30,249"
"Asus E410M, Celeron, 4Gb Ram, 128Gb SSD, 14 Inches FHD Screen, Windows","KSh 27,999"
"Lenovo 14"" - Intel Celeron - 1TB HDD - 4GB RAM - Windows 10 - Black + ","KSh 29,999"
Apple MacBook Pro 14 Inch With M1 16gb Ram 1Tb SSD Pro Chip (Late 2021,"KSh 385,999"
"HP 250 G8 - 15.6"" - Intel Celeron - 1TB HDD - 4GB RAM - DOS - Black","KSh 37,299"
"HP 250 G8 - 15.6"" - Intel Celeron - 1TB HDD - 4GB RAM - DOS - Black","KSh 38,499"
"Lenovo Ideapad 3 Intel Core I3 -10110U 1.2GHZ 4GB 1TB 15.6"" DOS Platin","KSh 44,999"
"HP ProBook X360 11 G2 , Intel Pentium, 4 GB RAM, 128 GB SSD, 11.6″ HD ","KSh 20,000"
"Lenovo 14"" - Intel Celeron - 1TB HDD - 4GB RAM - Windows 10 - Black + ","KSh 29,999"
"HP Refurbished EliteBook 840 G1 Intel Core I5 14"" 500GB HDD 8GB Ram - ","KSh 23,490"
"Apple MacBook Pro 14 Inch With M1 Pro Chip (Late 2021, Space Gray)","KSh 285,999"
"Apple MacBook Air M1 MGN63 13"" 8GB RAM 256GB SSD With Retina Display -","KSh 134,999"
,"KSh 13,400"
"HP SUPER SLIM Refurbished HP EliteBook Folio 9470m, 14"" Intel Core I7 ","KSh 33,000"
HP Refurbished EliteBook Revolve 810 G3-Intel Core I5-8GB RAM-256 SSD_,"KSh 24,499"
"Lenovo Refurbished Thinkpad X140e AMD Ram 4GB, HDD 320GB - 11.6""- Blac","KSh 13,299"
"HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,25","KSh 24,499"
"HP Refurbished ProBook X360 11E 4GB 128GB SSD 2-in-1 12"" Touchscreen S","KSh 17,599"
"HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,25","KSh 24,499"
Apple Refurbished MacBook Pro 13 Core I5 16GB 1TB HDD 2.5GHz 2012 13.3,"KSh 41,899"
"Lenovo Refurbished Thinkpad X131e 12"" AMD 4GB RAM, 320GB HDD - Black","KSh 12,499"
"HP Refurbished Revolve Touchscreen 810 G3 Core I5 8GB RAM, 256GB SSD, ","KSh 21,500"
"HP Refurbished Stream 11 Pro 11.6"" Intel Celeron 4GB RAM 64GB SSD Ultr","KSh 14,900"
"DELL Refurbished Latitude 3350 Celeron Ram 4GB HDD 500GB 13.6"" Black","KSh 16,399"
"X Tigi HeroBook 10.1""-Android Notebook-Quad Core-3Gb RAM-64Gb ROM- 400","KSh 11,999"
"HP Elitebook 820 12"" - Core i5 - 4GB RAM - 500GB HDD DOS- Black","KSh 20,999"
"Lenovo Refurbished Thinkpad T440 Core I5,4GB RAM 500GB I5-4300- DVDRW ","KSh 18,000"
"HP Refurbished EliteBook 840, Intel Core I5, 14"", 500HDD, 4GB RAM, Win","KSh 20,999"
"HP Refurbished Elitebook 820 G3 6th Gen , Corei5, 8GB RAM-SSD 256GB -1","KSh 23,899"
"DELL Refurbished Latitude 3150 -11.6"" - Intel Celeron - 4GB - 500GB HD","KSh 25,000"
"Lenovo Refurbished ThinkPad Yoga 11e X360 Intel -Touchscreen- 11.6""- 4","KSh 14,999"
"HP Refurbished Chromebook 11 4GB 16 HDD Chromebook OS, + FREE MOUSE","KSh 11,899"
HP Refurbished EliteBook 840 - 14'' - Intel Core I5 - 500HDD - 8GB RAM,"KSh 25,399"
"HP Refurbished 810 Revolve Core I5 8GB 256GB SSD 11.6"" Touchscreen+FRE","KSh 22,300"
HP Refurbished Elitebook 2560P - Core I5 - 500GB/4GB RAM - Sliver - 12,"KSh 16,500"
"HP Refurbished Revolve 810 G3 Core I5 8GB RAM, 256GB SSD, 11.6""- Slive","KSh 21,500"
HP Clean Refurbished ProBook 640 G1 Core I7 4th Gen 500GB HDD 8GB RAM ,"KSh 23,999"
"HP EliteBook X360 1030 G3 Laptop, 13.3"" - Core I5 8th Gen- 16GB RAM - ","KSh 59,999"
HP Revolve 810-Intel Core I5 8gb Ram-256gb SSD-Refurbished-Convertible,"KSh 22,500"
"HP EliteBook 820 G3 Core I7 8GB-256GB SSD 6th Gen 12.5"" Refurbished Wi","KSh 29,999"
"HP Refurbished EliteBook 8440p Core I5, 4GB Ram, 500GB.","KSh 16,880"
"Lenovo V Series-Intel Celeron-256GB SSD+1TB HDD-4GB RAM-Windows 11-14""","KSh 32,599"
HP 250 G7 - 15.6″ - Intel Celeron - 4GB RAM - 500GB HDD - Win 10 - DVD,"KSh 32,349"
